Poll,facteur
I-BUTANE,1
N-BUTANE,1
ACETYLENE,1
TRANS-2-BUTENE,1
1-BUTENE,1
VINYLCHLORIDE,1
CIS-2-BUTENE,1
CYCLOPENTANE,1
I-PENTANE,1
N-PENTANE,1
1-3-BUTADIENE,1
TRANS-2-PENTENE,1
1-PENTENE,1
CIS-2-PENTENE,1
2-2-DIME-BUTANE,1
ME-CYCLOPENTANE,1
CYCLOHEXANE,1
2-ME-PENTANE,1
3-ME-PENTANE,1
N-HEXANE,1
ISOPRENE,1
2-ME-1-PENTENE,1
2-4-DIME-PENTANE,1
2-3-DIME-PENTANE,1
2-ME-HEXANE,1
BENZENE,1
Unnamed: 32,1
Unnamed: 5,1
NAPHTHALENE,1
Unnamed: 4,1
1-HEXENE,1
2-3-DIMEC5+2MEC6,1
3-ME-HEXANE,1
224-TME-PENTANE,1
N-HEPTANE,1
ME-CYCLOHEXANE,1
234-TME-PENTANE,1
TOLUENE,1
2-ME-HEPTANE,1
3-ME-HEPTANE,1
N-OCTANE,1
ETHYLBENZENE,1
M&P-XYLENES,1
STYRENE,1
O-XYLENE,1
N-NONANE,1
I-PROPYLBENZENE,1
A-PINENE,1
N-PROPYLBENZENE,1
M-ETHYLTOLUENE,1
P-ETHYLTOLUENE,1
135-TMB,1
O-ETHYLTOLUENE,1
B-PINENE,1
124-TMB,1
1-3-DICL-BENZENE,1
N-DECANE,1
1-4-DICL-BENZENE,1
3-CARENE,1
123-TMB,1
LIMONENE,1
M-DIETHYLBENZENE,1
P-DIETHYLBENZENE,1
N-UNDECANE,1
N-DODECANE,1
N-TRIDECANE,1
2-ME-NAPHTHALENE,1
1-ME-NAPHTHALENE,1
N-TETRADECANE,1
ACENAPHTHENE,1
ACENAPHTHYLENE,1
N-PENTADECANE,1
FLUORENE,1
N-HEXADECANE,1
N-HEPTADECANE,1
PHENANTHRENE,1
N-OCTADECANE,1
ANTHRACENE,1
N-NONADECANE,1
N-EICOSANE,1
FLUORANTHENE,1
PYRENE,1
Unnamed: 63,1
